role,model_id,panel,reference,covered,total,reference_loss_on_covered,reference_loss_all,perturbation_mean_loss,model_loss_on_covered,state,export
train,ACH-000739,native_common,no_change,1807,1807,56.11606459005405,56.11606459005405,27.676917986508293,61.486229216254216,B-interface,internal
train,ACH-000739,native_common,global_mean,1807,1807,54.37535392558568,54.37535392558568,27.676917986508293,61.486229216254216,B-interface,internal
train,ACH-000739,seen,no_change,2139,2139,54.95144385954887,54.95144385954887,27.61313894587513,60.67002736948093,B-interface,internal
train,ACH-000739,seen,global_mean,2139,2139,53.311159549889695,53.311159549889695,27.61313894587513,60.67002736948093,B-interface,internal
train,ACH-000971,all,no_change,16399,16399,13.816918767016867,13.816918767016867,8.330177973156928,25.95516294729085,B-interface,internal
train,ACH-000971,all,global_mean,16399,16399,13.241585005273963,13.241585005273963,8.330177973156928,25.95516294729085,B-interface,internal
train,ACH-000971,native_all,no_change,1748,1748,28.654382662042053,28.654382662042053,24.674484632107976,38.68606517298544,B-interface,internal
train,ACH-000971,native_all,global_mean,1748,1748,26.719146326559358,26.719146326559358,24.674484632107976,38.68606517298544,B-interface,internal
train,ACH-000971,native_common,no_change,1748,1748,28.654382662042053,28.654382662042053,24.674484632107976,38.68606517298544,B-interface,internal
train,ACH-000971,native_common,global_mean,1748,1748,26.719146326559358,26.719146326559358,24.674484632107976,38.68606517298544,B-interface,internal
train,ACH-000971,seen,no_change,16399,16399,13.816918767016867,13.816918767016867,8.330177973156928,25.95516294729085,B-interface,internal
train,ACH-000971,seen,global_mean,16399,16399,13.241585005273963,13.241585005273963,8.330177973156928,25.95516294729085,B-interface,internal
val,ACH-000551,all,no_change,874,983,10.29786261459237,9.884300056818422,26.85989745421595,13.862341409416985,B-interface,internal
val,ACH-000551,all,global_mean,874,983,11.28980086733602,10.927503812592002,26.85989745421595,13.862341409416985,B-interface,internal
val,ACH-000551,native_all,no_change,193,196,22.87552633433762,22.81215089681197,52.56063343453284,25.441290267390908,B-interface,internal
val,ACH-000551,native_all,global_mean,193,196,22.57142781593639,22.48459958665225,52.56063343453284,25.441290267390908,B-interface,internal
val,ACH-000551,native_common,no_change,193,193,22.87552633433762,22.87552633433762,52.56063343453284,25.441290267390908,B-interface,internal
val,ACH-000551,native_common,global_mean,193,193,22.57142781593639,22.57142781593639,52.56063343453284,25.441290267390908,B-interface,internal
val,ACH-000551,seen,no_change,874,874,10.29786261459237,10.29786261459237,26.85989745421595,13.862341409416985,B-interface,internal
val,ACH-000551,seen,global_mean,874,874,11.28980086733602,11.28980086733602,26.85989745421595,13.862341409416985,B-interface,internal
val,ACH-000551,unseen,no_change,0,109,,6.568211290814461,,,B-interface,internal
val,ACH-000551,unseen,global_mean,0,109,,8.022479722259241,,,B-interface,internal
val,ACH-000739,all,no_change,234,238,53.08907729743893,53.73655005863735,64.65400661973872,60.424260375846146,B-interface,internal
val,ACH-000739,all,global_mean,234,238,51.59761237283038,52.221153155094434,64.65400661973872,60.424260375846146,B-interface,internal
val,ACH-000739,native_all,no_change,199,202,55.1552903089092,55.958604493943774,64.95061349868774,62.13709172771205,B-interface,internal
val,ACH-000739,native_all,global_mean,199,202,53.502918207465704,54.270453219366544,64.95061349868774,62.13709172771205,B-interface,internal
val,ACH-000739,native_common,no_change,199,199,55.1552903089092,55.1552903089092,64.95061349868774,62.13709172771205,B-interface,internal
val,ACH-000739,native_common,global_mean,199,199,53.502918207465704,53.502918207465704,64.95061349868774,62.13709172771205,B-interface,internal
val,ACH-000739,seen,no_change,234,234,53.08907729743893,53.08907729743893,64.65400661973872,60.424260375846146,B-interface,internal
val,ACH-000739,seen,global_mean,234,234,51.59761237283038,51.59761237283038,64.65400661973872,60.424260375846146,B-interface,internal
val,ACH-000739,unseen,no_change,0,4,,91.61370658874512,,,B-interface,internal
val,ACH-000739,unseen,global_mean,0,4,,88.6982889175415,,,B-interface,internal
val,ACH-000971,all,no_change,864,1826,13.622470111482674,12.436955330928079,22.72208941479524,25.36018669163739,B-interface,internal
val,ACH-000971,all,global_mean,864,1826,12.925372122062576,11.903958850465756,22.72208941479524,25.36018669163739,B-interface,internal
val,ACH-000971,native_all,no_change,182,185,22.56249803370172,22.36383261680603,42.890292872439375,31.764649370214443,B-interface,internal
val,ACH-000971,native_all,global_mean,182,185,20.810023284220435,20.628400988192173,42.890292872439375,31.764649370214443,B-interface,internal
val,ACH-000971,native_common,no_change,182,182,22.56249803370172,22.56249803370172,42.890292872439375,31.764649370214443,B-interface,internal
val,ACH-000971,native_common,global_mean,182,182,20.810023284220435,20.810023284220435,42.890292872439375,31.764649370214443,B-interface,internal
val,ACH-000971,seen,no_change,864,864,13.622470111482674,13.622470111482674,22.72208941479524,25.36018669163739,B-interface,internal
val,ACH-000971,seen,global_mean,864,864,12.925372122062576,12.925372122062576,22.72208941479524,25.36018669163739,B-interface,internal
val,ACH-000971,unseen,no_change,0,962,,11.37221024735306,,,B-interface,internal
val,ACH-000971,unseen,global_mean,0,962,,10.986598074312269,,,B-interface,internal
external,ACH-000995,all,no_change,2373,2377,34.33175137602625,34.3084577028622,39.16260989728077,200.5204218379365,B-joint,external
external,ACH-000995,all,global_mean,2373,2377,32.11994175703979,32.097069200468404,39.16260989728077,200.5204218379365,B-joint,external
external,ACH-000995,native_all,no_change,2006,2009,35.1468460582427,35.13260792724643,38.8930863203817,196.53151051758056,B-joint,external
external,ACH-000995,native_all,global_mean,2006,2009,32.674956861307706,32.6606839751058,38.8930863203817,196.53151051758056,B-joint,external
external,ACH-000995,native_common,no_change,2006,2006,35.1468460582427,35.1468460582427,38.8930863203817,196.53151051758056,B-joint,external
external,ACH-000995,native_common,global_mean,2006,2006,32.674956861307706,32.674956861307706,38.8930863203817,196.53151051758056,B-joint,external
external,ACH-000995,seen,no_change,2373,2373,34.33175137602625,34.33175137602625,39.16260989728077,200.5204218379365,B-joint,external
external,ACH-000995,seen,global_mean,2373,2373,32.11994175703979,32.11994175703979,39.16260989728077,200.5204218379365,B-joint,external
external,ACH-000995,unseen,no_change,0,4,,20.48948609828949,,,B-joint,external
external,ACH-000995,unseen,global_mean,0,4,,18.52792501449585,,,B-joint,external
val,ACH-000551,all,no_change,874,983,10.29786261459237,9.884300056818422,26.85989745421595,475.93902003028575,B-joint,external
val,ACH-000551,all,global_mean,874,983,11.28980086733602,10.927503812592002,26.85989745421595,475.93902003028575,B-joint,external
val,ACH-000551,native_all,no_change,193,196,22.87552633433762,22.81215089681197,52.56063343453284,437.83444126899997,B-joint,external
val,ACH-000551,native_all,global_mean,193,196,22.57142781593639,22.48459958665225,52.56063343453284,437.83444126899997,B-joint,external
val,ACH-000551,native_common,no_change,193,193,22.87552633433762,22.87552633433762,52.56063343453284,437.83444126899997,B-joint,external
val,ACH-000551,native_common,global_mean,193,193,22.57142781593639,22.57142781593639,52.56063343453284,437.83444126899997,B-joint,external
val,ACH-000551,seen,no_change,874,874,10.29786261459237,10.29786261459237,26.85989745421595,475.93902003028575,B-joint,external
val,ACH-000551,seen,global_mean,874,874,11.28980086733602,11.28980086733602,26.85989745421595,475.93902003028575,B-joint,external
val,ACH-000551,unseen,no_change,0,109,,6.568211290814461,,,B-joint,external
val,ACH-000551,unseen,global_mean,0,109,,8.022479722259241,,,B-joint,external
val,ACH-000739,all,no_change,234,238,53.08907729743893,53.73655005863735,64.65400661973872,782.438240768563,B-joint,external
val,ACH-000739,all,global_mean,234,238,51.59761237283038,52.221153155094434,64.65400661973872,782.438240768563,B-joint,external
val,ACH-000739,native_all,no_change,199,202,55.1552903089092,55.958604493943774,64.95061349868774,785.9943182097009,B-joint,external
val,ACH-000739,native_all,global_mean,199,202,53.502918207465704,54.270453219366544,64.95061349868774,785.9943182097009,B-joint,external
val,ACH-000739,native_common,no_change,199,199,55.1552903089092,55.1552903089092,64.95061349868774,785.9943182097009,B-joint,external
val,ACH-000739,native_common,global_mean,199,199,53.502918207465704,53.502918207465704,64.95061349868774,785.9943182097009,B-joint,external
val,ACH-000739,seen,no_change,234,234,53.08907729743893,53.08907729743893,64.65400661973872,782.438240768563,B-joint,external
val,ACH-000739,seen,global_mean,234,234,51.59761237283038,51.59761237283038,64.65400661973872,782.438240768563,B-joint,external
val,ACH-000739,unseen,no_change,0,4,,91.61370658874512,,,B-joint,external
val,ACH-000739,unseen,global_mean,0,4,,88.6982889175415,,,B-joint,external
val,ACH-000971,all,no_change,864,1826,13.622470111482674,12.436955330928079,22.72208941479524,355.51982757780286,B-joint,external
val,ACH-000971,all,global_mean,864,1826,12.925372122062576,11.903958850465756,22.72208941479524,355.51982757780286,B-joint,external
val,ACH-000971,native_all,no_change,182,185,22.56249803370172,22.36383261680603,42.890292872439375,348.045900281969,B-joint,external
val,ACH-000971,native_all,global_mean,182,185,20.810023284220435,20.628400988192173,42.890292872439375,348.045900281969,B-joint,external
val,ACH-000971,native_common,no_change,182,182,22.56249803370172,22.56249803370172,42.890292872439375,348.045900281969,B-joint,external
val,ACH-000971,native_common,global_mean,182,182,20.810023284220435,20.810023284220435,42.890292872439375,348.045900281969,B-joint,external
val,ACH-000971,seen,no_change,864,864,13.622470111482674,13.622470111482674,22.72208941479524,355.51982757780286,B-joint,external
val,ACH-000971,seen,global_mean,864,864,12.925372122062576,12.925372122062576,22.72208941479524,355.51982757780286,B-joint,external
val,ACH-000971,unseen,no_change,0,962,,11.37221024735306,,,B-joint,external
val,ACH-000971,unseen,global_mean,0,962,,10.986598074312269,,,B-joint,external
train,ACH-000551,all,no_change,8823,8823,11.163503571674287,11.163503571674287,10.016213982631921,476.7988205293294,B-joint,internal
train,ACH-000551,all,global_mean,8823,8823,12.182479012435381,12.182479012435381,10.016213982631921,476.7988205293294,B-joint,internal
train,ACH-000551,native_all,no_change,1813,1813,27.491478265613992,27.491478265613992,20.274834190753698,433.5912220487263,B-joint,internal
train,ACH-000551,native_all,global_mean,1813,1813,27.028971771081377,27.028971771081377,20.274834190753698,433.5912220487263,B-joint,internal
train,ACH-000551,native_common,no_change,1813,1813,27.491478265613992,27.491478265613992,20.274834190753698,433.5912220487263,B-joint,internal
train,ACH-000551,native_common,global_mean,1813,1813,27.028971771081377,27.028971771081377,20.274834190753698,433.5912220487263,B-joint,internal
train,ACH-000551,seen,no_change,8823,8823,11.163503571674287,11.163503571674287,10.016213982631921,476.7988205293294,B-joint,internal
train,ACH-000551,seen,global_mean,8823,8823,12.182479012435381,12.182479012435381,10.016213982631921,476.7988205293294,B-joint,internal
train,ACH-000739,all,no_change,2139,2139,54.95144385954887,54.95144385954887,27.61313894587513,758.7392073850199,B-joint,internal
train,ACH-000739,all,global_mean,2139,2139,53.311159549889695,53.311159549889695,27.61313894587513,758.7392073850199,B-joint,internal
train,ACH-000739,native_all,no_change,1807,1807,56.11606459005405,56.11606459005405,27.676917986508293,759.3766740420014,B-joint,internal
train,ACH-000739,native_all,global_mean,1807,1807,54.37535392558568,54.37535392558568,27.676917986508293,759.3766740420014,B-joint,internal
train,ACH-000739,native_common,no_change,1807,1807,56.11606459005405,56.11606459005405,27.676917986508293,759.3766740420014,B-joint,internal
train,ACH-000739,native_common,global_mean,1807,1807,54.37535392558568,54.37535392558568,27.676917986508293,759.3766740420014,B-joint,internal
train,ACH-000739,seen,no_change,2139,2139,54.95144385954887,54.95144385954887,27.61313894587513,758.7392073850199,B-joint,internal
train,ACH-000739,seen,global_mean,2139,2139,53.311159549889695,53.311159549889695,27.61313894587513,758.7392073850199,B-joint,internal
train,ACH-000971,all,no_change,16399,16399,13.816918767016867,13.816918767016867,8.330177973156928,358.9361182035517,B-joint,internal
train,ACH-000971,all,global_mean,16399,16399,13.241585005273963,13.241585005273963,8.330177973156928,358.9361182035517,B-joint,internal
train,ACH-000971,native_all,no_change,1748,1748,28.654382662042053,28.654382662042053,24.674484632107976,366.16578062393575,B-joint,internal
train,ACH-000971,native_all,global_mean,1748,1748,26.719146326559358,26.719146326559358,24.674484632107976,366.16578062393575,B-joint,internal
train,ACH-000971,native_common,no_change,1748,1748,28.654382662042053,28.654382662042053,24.674484632107976,366.16578062393575,B-joint,internal
train,ACH-000971,native_common,global_mean,1748,1748,26.719146326559358,26.719146326559358,24.674484632107976,366.16578062393575,B-joint,internal
train,ACH-000971,seen,no_change,16399,16399,13.816918767016867,13.816918767016867,8.330177973156928,358.9361182035517,B-joint,internal
train,ACH-000971,seen,global_mean,16399,16399,13.241585005273963,13.241585005273963,8.330177973156928,358.9361182035517,B-joint,internal
val,ACH-000551,all,no_change,874,983,10.29786261459237,9.884300056818422,26.85989745421595,475.93902003028575,B-joint,internal
val,ACH-000551,all,global_mean,874,983,11.28980086733602,10.927503812592002,26.85989745421595,475.93902003028575,B-joint,internal
val,ACH-000551,native_all,no_change,193,196,22.87552633433762,22.81215089681197,52.56063343453284,437.83444126899997,B-joint,internal
val,ACH-000551,native_all,global_mean,193,196,22.57142781593639,22.48459958665225,52.56063343453284,437.83444126899997,B-joint,internal
val,ACH-000551,native_common,no_change,193,193,22.87552633433762,22.87552633433762,52.56063343453284,437.83444126899997,B-joint,internal
val,ACH-000551,native_common,global_mean,193,193,22.57142781593639,22.57142781593639,52.56063343453284,437.83444126899997,B-joint,internal
val,ACH-000551,seen,no_change,874,874,10.29786261459237,10.29786261459237,26.85989745421595,475.93902003028575,B-joint,internal
val,ACH-000551,seen,global_mean,874,874,11.28980086733602,11.28980086733602,26.85989745421595,475.93902003028575,B-joint,internal
val,ACH-000551,unseen,no_change,0,109,,6.568211290814461,,,B-joint,internal
val,ACH-000551,unseen,global_mean,0,109,,8.022479722259241,,,B-joint,internal
val,ACH-000739,all,no_change,234,238,53.08907729743893,53.73655005863735,64.65400661973872,782.438240768563,B-joint,internal
val,ACH-000739,all,global_mean,234,238,51.59761237283038,52.221153155094434,64.65400661973872,782.438240768563,B-joint,internal
val,ACH-000739,native_all,no_change,199,202,55.1552903089092,55.958604493943774,64.95061349868774,785.9943182097009,B-joint,internal
val,ACH-000739,native_all,global_mean,199,202,53.502918207465704,54.270453219366544,64.95061349868774,785.9943182097009,B-joint,internal
val,ACH-000739,native_common,no_change,199,199,55.1552903089092,55.1552903089092,64.95061349868774,785.9943182097009,B-joint,internal
val,ACH-000739,native_common,global_mean,199,199,53.502918207465704,53.502918207465704,64.95061349868774,785.9943182097009,B-joint,internal
val,ACH-000739,seen,no_change,234,234,53.08907729743893,53.08907729743893,64.65400661973872,782.438240768563,B-joint,internal
val,ACH-000739,seen,global_mean,234,234,51.59761237283038,51.59761237283038,64.65400661973872,782.438240768563,B-joint,internal
val,ACH-000739,unseen,no_change,0,4,,91.61370658874512,,,B-joint,internal
val,ACH-000739,unseen,global_mean,0,4,,88.6982889175415,,,B-joint,internal
val,ACH-000971,all,no_change,864,1826,13.622470111482674,12.436955330928079,22.72208941479524,355.5198342182018,B-joint,internal
val,ACH-000971,all,global_mean,864,1826,12.925372122062576,11.903958850465756,22.72208941479524,355.5198342182018,B-joint,internal
val,ACH-000971,native_all,no_change,182,185,22.56249803370172,22.36383261680603,42.890292872439375,348.045900281969,B-joint,internal
val,ACH-000971,native_all,global_mean,182,185,20.810023284220435,20.628400988192173,42.890292872439375,348.045900281969,B-joint,internal
val,ACH-000971,native_common,no_change,182,182,22.56249803370172,22.56249803370172,42.890292872439375,348.045900281969,B-joint,internal
val,ACH-000971,native_common,global_mean,182,182,20.810023284220435,20.810023284220435,42.890292872439375,348.045900281969,B-joint,internal
val,ACH-000971,seen,no_change,864,864,13.622470111482674,13.622470111482674,22.72208941479524,355.5198342182018,B-joint,internal
val,ACH-000971,seen,global_mean,864,864,12.925372122062576,12.925372122062576,22.72208941479524,355.5198342182018,B-joint,internal
val,ACH-000971,unseen,no_change,0,962,,11.37221024735306,,,B-joint,internal
val,ACH-000971,unseen,global_mean,0,962,,10.986598074312269,,,B-joint,internal
external,ACH-000995,all,no_change,2373,2377,34.33175137602625,34.3084577028622,39.16260989728077,179.94113614596347,B-unfreeze,external
external,ACH-000995,all,global_mean,2373,2377,32.11994175703979,32.097069200468404,39.16260989728077,179.94113614596347,B-unfreeze,external
external,ACH-000995,native_all,no_change,2006,2009,35.1468460582427,35.13260792724643,38.8930863203817,176.37308360905138,B-unfreeze,external
external,ACH-000995,native_all,global_mean,2006,2009,32.674956861307706,32.6606839751058,38.8930863203817,176.37308360905138,B-unfreeze,external
external,ACH-000995,native_common,no_change,2006,2006,35.1468460582427,35.1468460582427,38.8930863203817,176.37308360905138,B-unfreeze,external
external,ACH-000995,native_common,global_mean,2006,2006,32.674956861307706,32.674956861307706,38.8930863203817,176.37308360905138,B-unfreeze,external
external,ACH-000995,seen,no_change,2373,2373,34.33175137602625,34.33175137602625,39.16260989728077,179.94113614596347,B-unfreeze,external
external,ACH-000995,seen,global_mean,2373,2373,32.11994175703979,32.11994175703979,39.16260989728077,179.94113614596347,B-unfreeze,external
external,ACH-000995,unseen,no_change,0,4,,20.48948609828949,,,B-unfreeze,external
external,ACH-000995,unseen,global_mean,0,4,,18.52792501449585,,,B-unfreeze,external
val,ACH-000551,all,no_change,874,983,10.29786261459237,9.884300056818422,26.85989745421595,10.551301195092277,B-unfreeze,external
val,ACH-000551,all,global_mean,874,983,11.28980086733602,10.927503812592002,26.85989745421595,10.551301195092277,B-unfreeze,external
val,ACH-000551,native_all,no_change,193,196,22.87552633433762,22.81215089681197,52.56063343453284,19.934096492016252,B-unfreeze,external
val,ACH-000551,native_all,global_mean,193,196,22.57142781593639,22.48459958665225,52.56063343453284,19.934096492016252,B-unfreeze,external
val,ACH-000551,native_common,no_change,193,193,22.87552633433762,22.87552633433762,52.56063343453284,19.934096492016252,B-unfreeze,external
val,ACH-000551,native_common,global_mean,193,193,22.57142781593639,22.57142781593639,52.56063343453284,19.934096492016252,B-unfreeze,external
val,ACH-000551,seen,no_change,874,874,10.29786261459237,10.29786261459237,26.85989745421595,10.551301195092277,B-unfreeze,external
val,ACH-000551,seen,global_mean,874,874,11.28980086733602,11.28980086733602,26.85989745421595,10.551301195092277,B-unfreeze,external
val,ACH-000551,unseen,no_change,0,109,,6.568211290814461,,,B-unfreeze,external
val,ACH-000551,unseen,global_mean,0,109,,8.022479722259241,,,B-unfreeze,external
val,ACH-000739,all,no_change,234,238,53.08907729743893,53.73655005863735,64.65400661973872,51.10800484714345,B-unfreeze,external
val,ACH-000739,all,global_mean,234,238,51.59761237283038,52.221153155094434,64.65400661973872,51.10800484714345,B-unfreeze,external
val,ACH-000739,native_all,no_change,199,202,55.1552903089092,55.958604493943774,64.95061349868774,52.58935694478864,B-unfreeze,external
val,ACH-000739,native_all,global_mean,199,202,53.502918207465704,54.270453219366544,64.95061349868774,52.58935694478864,B-unfreeze,external
val,ACH-000739,native_common,no_change,199,199,55.1552903089092,55.1552903089092,64.95061349868774,52.58935694478864,B-unfreeze,external
val,ACH-000739,native_common,global_mean,199,199,53.502918207465704,53.502918207465704,64.95061349868774,52.58935694478864,B-unfreeze,external
val,ACH-000739,seen,no_change,234,234,53.08907729743893,53.08907729743893,64.65400661973872,51.10800484714345,B-unfreeze,external
val,ACH-000739,seen,global_mean,234,234,51.59761237283038,51.59761237283038,64.65400661973872,51.10800484714345,B-unfreeze,external
val,ACH-000739,unseen,no_change,0,4,,91.61370658874512,,,B-unfreeze,external
val,ACH-000739,unseen,global_mean,0,4,,88.6982889175415,,,B-unfreeze,external
val,ACH-000971,all,no_change,864,1826,13.622470111482674,12.436955330928079,22.72208941479524,18.538643056595767,B-unfreeze,external
val,ACH-000971,all,global_mean,864,1826,12.925372122062576,11.903958850465756,22.72208941479524,18.538643056595767,B-unfreeze,external
val,ACH-000971,native_all,no_change,182,185,22.56249803370172,22.36383261680603,42.890292872439375,24.732091474009085,B-unfreeze,external
val,ACH-000971,native_all,global_mean,182,185,20.810023284220435,20.628400988192173,42.890292872439375,24.732091474009085,B-unfreeze,external
val,ACH-000971,native_common,no_change,182,182,22.56249803370172,22.56249803370172,42.890292872439375,24.732091474009085,B-unfreeze,external
val,ACH-000971,native_common,global_mean,182,182,20.810023284220435,20.810023284220435,42.890292872439375,24.732091474009085,B-unfreeze,external
val,ACH-000971,seen,no_change,864,864,13.622470111482674,13.622470111482674,22.72208941479524,18.538643056595767,B-unfreeze,external
val,ACH-000971,seen,global_mean,864,864,12.925372122062576,12.925372122062576,22.72208941479524,18.538643056595767,B-unfreeze,external
val,ACH-000971,unseen,no_change,0,962,,11.37221024735306,,,B-unfreeze,external
val,ACH-000971,unseen,global_mean,0,962,,10.986598074312269,,,B-unfreeze,external
train,ACH-000551,all,no_change,8823,8823,11.163503571674287,11.163503571674287,10.016213982631921,10.58172277200118,B-unfreeze,internal
train,ACH-000551,all,global_mean,8823,8823,12.182479012435381,12.182479012435381,10.016213982631921,10.58172277200118,B-unfreeze,internal
train,ACH-000551,native_all,no_change,1813,1813,27.491478265613992,27.491478265613992,20.274834190753698,21.900592550150414,B-unfreeze,internal
train,ACH-000551,native_all,global_mean,1813,1813,27.028971771081377,27.028971771081377,20.274834190753698,21.900592550150414,B-unfreeze,internal
train,ACH-000551,native_common,no_change,1813,1813,27.491478265613992,27.491478265613992,20.274834190753698,21.900592550150414,B-unfreeze,internal
train,ACH-000551,native_common,global_mean,1813,1813,27.028971771081377,27.028971771081377,20.274834190753698,21.900592550150414,B-unfreeze,internal
train,ACH-000551,seen,no_change,8823,8823,11.163503571674287,11.163503571674287,10.016213982631921,10.58172277200118,B-unfreeze,internal
train,ACH-000551,seen,global_mean,8823,8823,12.182479012435381,12.182479012435381,10.016213982631921,10.58172277200118,B-unfreeze,internal
train,ACH-000739,all,no_change,2139,2139,54.95144385954887,54.95144385954887,27.61313894587513,44.87722620310879,B-unfreeze,internal
train,ACH-000739,all,global_mean,2139,2139,53.311159549889695,53.311159549889695,27.61313894587513,44.87722620310879,B-unfreeze,internal
train,ACH-000739,native_all,no_change,1807,1807,56.11606459005405,56.11606459005405,27.676917986508293,45.52371622570061,B-unfreeze,internal
train,ACH-000739,native_all,global_mean,1807,1807,54.37535392558568,54.37535392558568,27.676917986508293,45.52371622570061,B-unfreeze,internal
train,ACH-000739,native_common,no_change,1807,1807,56.11606459005405,56.11606459005405,27.676917986508293,45.52371622570061,B-unfreeze,internal
train,ACH-000739,native_common,global_mean,1807,1807,54.37535392558568,54.37535392558568,27.676917986508293,45.52371622570061,B-unfreeze,internal
train,ACH-000739,seen,no_change,2139,2139,54.95144385954887,54.95144385954887,27.61313894587513,44.87722620310879,B-unfreeze,internal
train,ACH-000739,seen,global_mean,2139,2139,53.311159549889695,53.311159549889695,27.61313894587513,44.87722620310879,B-unfreeze,internal
train,ACH-000971,all,no_change,16399,16399,13.816918767016867,13.816918767016867,8.330177973156928,19.094637042378878,B-unfreeze,internal
train,ACH-000971,all,global_mean,16399,16399,13.241585005273963,13.241585005273963,8.330177973156928,19.094637042378878,B-unfreeze,internal
train,ACH-000971,native_all,no_change,1748,1748,28.654382662042053,28.654382662042053,24.674484632107976,31.35441515974922,B-unfreeze,internal
train,ACH-000971,native_all,global_mean,1748,1748,26.719146326559358,26.719146326559358,24.674484632107976,31.35441515974922,B-unfreeze,internal
train,ACH-000971,native_common,no_change,1748,1748,28.654382662042053,28.654382662042053,24.674484632107976,31.35441515974922,B-unfreeze,internal
train,ACH-000971,native_common,global_mean,1748,1748,26.719146326559358,26.719146326559358,24.674484632107976,31.35441515974922,B-unfreeze,internal
train,ACH-000971,seen,no_change,16399,16399,13.816918767016867,13.816918767016867,8.330177973156928,19.094637042378878,B-unfreeze,internal
train,ACH-000971,seen,global_mean,16399,16399,13.241585005273963,13.241585005273963,8.330177973156928,19.094637042378878,B-unfreeze,internal
val,ACH-000551,all,no_change,874,983,10.29786261459237,9.884300056818422,26.85989745421595,10.551301195092277,B-unfreeze,internal
val,ACH-000551,all,global_mean,874,983,11.28980086733602,10.927503812592002,26.85989745421595,10.551301195092277,B-unfreeze,internal
val,ACH-000551,native_all,no_change,193,196,22.87552633433762,22.81215089681197,52.56063343453284,19.934096492016252,B-unfreeze,internal
val,ACH-000551,native_all,global_mean,193,196,22.57142781593639,22.48459958665225,52.56063343453284,19.934096492016252,B-unfreeze,internal
val,ACH-000551,native_common,no_change,193,193,22.87552633433762,22.87552633433762,52.56063343453284,19.934096492016252,B-unfreeze,internal
val,ACH-000551,native_common,global_mean,193,193,22.57142781593639,22.57142781593639,52.56063343453284,19.934096492016252,B-unfreeze,internal
val,ACH-000551,seen,no_change,874,874,10.29786261459237,10.29786261459237,26.85989745421595,10.551301195092277,B-unfreeze,internal
val,ACH-000551,seen,global_mean,874,874,11.28980086733602,11.28980086733602,26.85989745421595,10.551301195092277,B-unfreeze,internal
val,ACH-000551,unseen,no_change,0,109,,6.568211290814461,,,B-unfreeze,internal
val,ACH-000551,unseen,global_mean,0,109,,8.022479722259241,,,B-unfreeze,internal
val,ACH-000739,all,no_change,234,238,53.08907729743893,53.73655005863735,64.65400661973872,51.10800484714345,B-unfreeze,internal
val,ACH-000739,all,global_mean,234,238,51.59761237283038,52.221153155094434,64.65400661973872,51.10800484714345,B-unfreeze,internal
val,ACH-000739,native_all,no_change,199,202,55.1552903089092,55.958604493943774,64.95061349868774,52.58935694478864,B-unfreeze,internal
val,ACH-000739,native_all,global_mean,199,202,53.502918207465704,54.270453219366544,64.95061349868774,52.58935694478864,B-unfreeze,internal
val,ACH-000739,native_common,no_change,199,199,55.1552903089092,55.1552903089092,64.95061349868774,52.58935694478864,B-unfreeze,internal
val,ACH-000739,native_common,global_mean,199,199,53.502918207465704,53.502918207465704,64.95061349868774,52.58935694478864,B-unfreeze,internal
val,ACH-000739,seen,no_change,234,234,53.08907729743893,53.08907729743893,64.65400661973872,51.10800484714345,B-unfreeze,internal
val,ACH-000739,seen,global_mean,234,234,51.59761237283038,51.59761237283038,64.65400661973872,51.10800484714345,B-unfreeze,internal
val,ACH-000739,unseen,no_change,0,4,,91.61370658874512,,,B-unfreeze,internal
val,ACH-000739,unseen,global_mean,0,4,,88.6982889175415,,,B-unfreeze,internal
val,ACH-000971,all,no_change,864,1826,13.622470111482674,12.436955330928079,22.72208941479524,18.538622360538554,B-unfreeze,internal
val,ACH-000971,all,global_mean,864,1826,12.925372122062576,11.903958850465756,22.72208941479524,18.538622360538554,B-unfreeze,internal
val,ACH-000971,native_all,no_change,182,185,22.56249803370172,22.36383261680603,42.890292872439375,24.732091474009085,B-unfreeze,internal
val,ACH-000971,native_all,global_mean,182,185,20.810023284220435,20.628400988192173,42.890292872439375,24.732091474009085,B-unfreeze,internal
val,ACH-000971,native_common,no_change,182,182,22.56249803370172,22.56249803370172,42.890292872439375,24.732091474009085,B-unfreeze,internal
val,ACH-000971,native_common,global_mean,182,182,20.810023284220435,20.810023284220435,42.890292872439375,24.732091474009085,B-unfreeze,internal
val,ACH-000971,seen,no_change,864,864,13.622470111482674,13.622470111482674,22.72208941479524,18.538622360538554,B-unfreeze,internal
val,ACH-000971,seen,global_mean,864,864,12.925372122062576,12.925372122062576,22.72208941479524,18.538622360538554,B-unfreeze,internal
val,ACH-000971,unseen,no_change,0,962,,11.37221024735306,,,B-unfreeze,internal
val,ACH-000971,unseen,global_mean,0,962,,10.986598074312269,,,B-unfreeze,internal
